Mike	22:25 3/6/2004	130
Jim	22:25 3/6/2004	113
Tom	22:25 3/6/2004	105
Lana	22:25 3/6/2004	130
TomH	22:25 3/6/2004	125
Mike	22:26 3/6/2004	153
TomH	22:26 3/6/2004	174
Mike	17:14 3/2/2018	202
Tom	17:14 3/2/2018	122
Jim	14:56 3/3/2018	114
TomH	14:56 3/3/2018	148
Mike	14:56 3/3/2018	132
Lana	14:34 3/1/2018	91
Mike	14:34 3/1/2018	122
Tom	14:34 3/1/2018	165
Jerry	15:10 3/5/2018	164
Mike	15:10 3/5/2018	178
Jerry	15:11 3/5/2018	133
TomH	15:11 3/5/2018	132
Tom	15:11 3/5/2018	137
Mike	15:11 3/5/2018	113
Lana	15:11 3/5/2018	115
Tom	15:16 3/5/2018	166
TomH	15:16 3/5/2018	124
Mike	15:16 3/5/2018	133
Jim	15:18 3/5/2018	211
TomH	15:18 3/5/2018	150
TomH	8:48 3/1/2018	138
Lana	11:04 04/23/2018	133
Jim	14:02 04/23/2018	168
